...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1127;Ruca Pulafquenche;Biobío;Arauco;Arauco;11;0,41924491;2661,277454435;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1128;Jardín Del Norte;Antofagasta;Antofagasta;Antofagasta;244;2,52378647;21095,599014725;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1129;Los Corregidores;Ñuble;Diguillín;Chillán;13;0,24963581;1607,113078405;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
1130;Villa El Sol;Antofagasta;Antofagasta;Antofagasta;262;2,95603968;24708,649525775;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1131;Línea Férrea Confluencia;Ñuble;Diguillín;Chillán;35;3,21194917;20668,595599755;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1132;20 De Julio;Antofagasta;Antofagasta;Antofagasta;65;1,01373609;8462,209789460;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1133;Litral Confluencia;Ñuble;Diguillín;Chillán;26;5,33494897;34325,727870000;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1134;Flor De Chile;Antofagasta;Antofagasta;Antofagasta;74;1,33861634;11174,336653020;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1135;Los Montes De Quinquehua;Ñuble;Diguillín;Chillán;47;5,56536425;35883,020013520;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1136;Franja Esperanza;Antofagasta;Antofagasta;Antofagasta;86;1,56199429;13039,154638515;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1137;Orilla Itata;Ñuble;Itata;Portezuelo;11;1,40758083;9071,378154980;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2011;normales
1138;Los 33;Antofagasta;Antofagasta;Antofagasta;28;0,51162714;4270,810440760;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;normales
1139;Pablo Neruda II;Ñuble;Itata;Quirihue;39;22,69449383;147441,753282035;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1140;Nuevo Amanecer Del Desierto;Antofagasta;Antofagasta;Antofagasta;78;1,33213296;11120,119324740;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;grandes
1141;Esmeralda Sur;Ñuble;Punilla;San Nicolás;13;0,23159127;1495,167591850;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1142;Sector 1;Antofagasta;Antofagasta;Antofagasta;210;3,78210121;31571,865399150;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
